Loading inference model from files models/output_graph.pbLoaded inference model in 0.259s.Loading language model from files models/alphabet.txt models/trieLoaded language model in 22.4s.# File (1089-134686-0000.flac):
# - processed text: 'why you sit to vice the first living preyed and that was this being out replied the captain panting hard as he held fast a one o the goats horns'
# - processed in 50.87 seconds.
# - WER = 0.344
# File (8555-284447-0014.flac):
# - 8.47 seconds long.
# - actual    text: 'the idea of patching cap'n bill to a goat was vastly amusing to him and the more he thought of it the more he roared with laughter'
# - processed text: 'the idea of catching a bill to a goat was a vastly amusing to him and the more he thought of it the more he roared with laughter'
# - processed in 47.662 seconds.
# - WER = 0.111
# File (8555-284447-0015.flac):
# - 19.7550625 seconds long.
# - actual    text: 'they look something alike you know suggested the captain of the guards looking from one to the other doubtfully and they're nearly the same size if you stand the goat on his hind legs they've both got the same style of whiskers and they're both of em obstinate and dangerous so they ought to make a good patch splendid'
# - processed text: 'they look something alike you know suggested the captain of the guards looking for one to the other doubtfully and then nearly the same size of his tanabata as high legs they've both got the same style of whiskers and they both of them obstinate and dangerous so they ought to make a good patch splendid'
# - processed in 111.047 seconds.
# - WER = 0.21
# File (8555-284447-0016.flac):
# - 2.11 seconds long.
# - actual    text: 'fine glorious'
# - processed text: 'fine porous'
# - processed in 11.715 seconds.
# - WER = 0.5
# File (8555-284447-0017.flac):
# - 11.62 seconds long.
# - actual    text: 'when this had been accomplished the boolooroo leaned over to try to discover why the frame rolled away seemingly of its own accord and he was the more puzzled because it had never done such a thing before'
# - processed text: 'when this had been accomplished the booleroo leaned over to try to discover why the frame rolled away seemingly of its own accord and he was the more puzzled because he had never done such a thing before'
# - processed in 65.064 seconds.
# - WER = 0.053
# File (8555-284447-0018.flac):
# - 5.46 seconds long.
# - actual    text: 'at once the goat gave a leap escaped from the soldiers and with bowed head rushed upon the boolooroo'
# - processed text: 'at once the goat gave a leap escape from the soldiers and with bowed head rushed upon the booleroo'
# - processed in 30.419 seconds.
# - WER = 0.105
# File (8555-284447-0019.flac):
# - 10.28 seconds long.
# - actual    text: 'before any could stop him he butted his majesty so furiously that the king soared far into the air and tumbled in a heap among the benches where he lay moaning and groaning'
# - processed text: 'before any good stop him he butted his majesty so furiously but the king's sword far into the air and tumble in a heap among the benches where he lay moaning and groaning'
# - processed in 57.224 seconds.
# - WER = 0.152
# File (8555-284447-0020.flac):
# - 4.09 seconds long.
# - actual    text: 'the goat's warlike spirit was roused by this successful attack'
# - processed text: 'the goats were like spirit was roused by the successful attack'
# - processed in 23.232 seconds.
# - WER = 0.364
# File (8555-284447-0021.flac):
# - 13.175 seconds long.
# - actual    text: 'then they sped in great haste for the door and the goat gave a final butt that sent the row of royal ladies all diving into the corridor in another tangle whereupon they shrieked in a manner that terrified everyone within sound of their voices'
# - processed text: 'then they sped in great haste for the door and i go gave a final but this sentaro of royal ladies all diving into the corridor and another tangle whereof one shrieked in a manner that terrified every one within sound of their voices'
# - processed in 73.787 seconds.
# - WER = 0.267
# File (8555-284447-0022.flac):
# - 3.56 seconds long.
# - actual    text: 'i had a notion it was you mate as saved me from the knife'
# - processed text: 'i had a notion it was you made this same from the knife'
# - processed in 19.956 seconds.
# - WER = 0.286
# File (8555-284447-0023.flac):
# - 7.155 seconds long.
# - actual    text: 'i couldn't shiver much bein bound so tight but when i'm loose i mean to have jus one good shiver to relieve my feelin's'
# - processed text: 'i couldn't shut how much being bound so tight but when i move aminto have just sung good shiver to relieve my feelin's'
# - processed in 40.039 seconds.
# - WER = 0.37
# File (8555-284447-0024.flac):
# - 4.635 seconds long.
# - actual    text: 'come and get the boolooroo she said going toward the benches'
# - processed text: 'coming at the bolero she said going towards the benches'
# - processed in 26.258 seconds.
# - WER = 0.455
# File (908-157963-0000.flac):
# - 12.62 seconds long.
# - actual    text: 'to fade away like morning beauty from her mortal day down by the river of adona her soft voice is heard and thus her gentle lamentation falls like morning dew'
# - processed text: 'to fade away like morning beauty from her mortal day down by the river of adona her soft voices heard and thus her gentle lamentation falls like morning dew'
# - processed in 70.636 seconds.
# - WER = 0.067
# File (908-157963-0001.flac):
# - 2.885 seconds long.
# - actual    text: 'o life of this our spring'
# - processed text: 'o life of this are spring'
# - processed in 15.939 seconds.
# - WER = 0.167
# File (908-157963-0002.flac):
# - 2.755 seconds long.
# - actual    text: 'why fades the lotus of the water'
# - processed text: 'why fates the lotus of the water'
# - processed in 15.504 seconds.
# - WER = 0.143
# File (908-157963-0003.flac):
# - 3.08 seconds long.
# - actual    text: 'why fade these children of the spring'
# - processed text: 'why fate these children of the spring'
# - processed in 17.233 seconds.
# - WER = 0.143
# File (908-157963-0004.flac):
# - 13.99 seconds long.
# - actual    text: 'thel is like a watry bow and like a parting cloud like a reflection in a glass like shadows in the water like dreams of infants like a smile upon an infants face'
# - processed text: 'fell is like a watery bow and like a parting cloud like a reflection in a glass like shadows in the water like dreams of infants like a smile upon an infant's face'
# - processed in 77.465 seconds.
# - WER = 0.121
# File (908-157963-0005.flac):
# - 7.035 seconds long.
# - actual    text: 'like the doves voice like transient day like music in the air ah'
# - processed text: 'like the dove's voice like transient day like music in the air ah'
# - processed in 38.794 seconds.
# - WER = 0.154
# File (908-157963-0006.flac):
# - 8.11 seconds long.
# - actual    text: 'and gentle sleep the sleep of death and gently hear the voice of him that walketh in the garden in the evening time'
# - processed text: 'and gentle sleep the sleep of death and gently heard the voice of him that walketh in the garden in the evening time'
# - processed in 45.269 seconds.
# - WER = 0.043
# File (908-157963-0007.flac):
# - 32.77 seconds long.
# - actual    text: 'the lilly of the valley breathing in the humble grass answerd the lovely maid and said i am a watry weed and i am very small and love to dwell in lowly vales so weak the gilded butterfly scarce perches on my head yet i am visited from heaven and he that smiles on all walks in the valley and each morn over me spreads his hand saying rejoice thou humble grass thou new born lily flower'
# - processed text: 'the lily of the valley breathing in the humble grass answered the lovely maiden said i am a watering weed and i am very small and loved to dwell and lowly vails so weak the gilded butterfly scarce purchase on my head yet i am visited from heaven and he that smiles on all walks in the valley and each morn over me spread his hand saying rejoice thou humble grass thou new born gilly flower'
# - processed in 183.142 seconds.
# - WER = 0.143
# File (908-157963-0008.flac):
# - 19.95 seconds long.
# - actual    text: 'thou gentle maid of silent valleys and of modest brooks for thou shall be clothed in light and fed with morning manna till summers heat melts thee beside the fountains and the springs to flourish in eternal vales they why should thel complain'
